Unnamed: 0,Companies,Jobs,Locations,Easy_Apply,Rating,Summary,date_data_created
0,Avero,Data Science Modeler,"Boulder, CO",Not Easy Apply,2.6," As a Data Science Modeler, you will be a key player in building out and deploying ML algorithms within the Avero Data Science team.",2019-05-08
1,UPMC,Director Integrated Data Science,"Loveland, CO",Not Easy Apply,3.7," Demonstrated knowledge of programming expertise necessary to support data modeling. Demonstrated knowledge of advanced modeling techniques, including data…",2019-05-08
2,Willis Towers Watson,Data Scientist,"Denver, CO",Not Easy Apply,3.7," University bachelor’s degree in data science, data analysis, statistics, applied mathematics, computer science, engineering, or any other related discipline;…",2019-05-08
3,Valen Analytics,Data Scientist,"Denver, CO",Not Easy Apply,, Effectively represent the Data Science group in a collaborative environment to execute on company goals. Data visualization software and tools.,2019-05-08
4,PHOENIX,Sr Business Analyst / Data Scientist,"Denver, CO",Easy Apply,, See the data “forest for the trees” and help identify connections between existing data sets and holes that could be filled by new analytics and data sets.,2019-05-08
5,Valen Analytics,Data Engineer,"Denver, CO",Not Easy Apply,, Troubleshoot basic data and data engineering issues. Develop technical solutions to improve data and data usage. Perform data cleansing and validation.,2019-05-08
6,Horizontal,Data Scientist,"Broomfield, CO",Not Easy Apply,," Data scientists use data and analytical ability to find and interpret rich data sources; manage large amounts of data despite hardware, software, and bandwidth…",2019-05-08
7,Pricesenz,Data Scientist,"Broomfield, CO",Easy Apply,, Data Science: 3 years (Preferred). Data scientists use data and analytical ability to find and interpret rich data sources; manage large amounts of data despite…,2019-05-08
8,xentity corporation,Data Science Analyst,"Denver, CO",Easy Apply,4.6, Data Engineer Tech – :Cleaning and Integrating Dirty Data. Could pass ad-hoc technical and whiteboard test given various data ETL and other patterns of real…,2019-05-08
9,Inscripta,"Senior Applications Scientist, Bioinformatics/Data Science","Boulder, CO",Not Easy Apply,3.0," Expertise in probability & statistics, machine learning, high dimensional and high throughput data analysis and fundamentals of data science, including data…",2019-05-08
10,Payfone,Data Science Analyst,"Denver, CO",Not Easy Apply,3.5, Working knowledge of basic data science concepts such as: Synthesize data learnings into compelling stories and communicate to stakeholders.,2019-05-08
11,Maxar Technologies,Data Science Intern,"Westminster, CO",Not Easy Apply,3.7," Maxar is looking for a Data Science Intern, to join out 2020 Summer Internship Program, who is excited about working big corpuses of data and novel analytical…",2019-05-08
12,"Alteryx, Inc.",Data Science Journalist,"Broomfield, CO",Not Easy Apply,4.1, Some practical data science experience. Analyzing open source data to create practical examples that demonstrate data science techniques and concepts.,2019-05-08
13,The18,Data Scientist,"Boulder, CO",Easy Apply,, Participate in the implementation of a data management platform to organize and act on our cross-platform data. Experience with social data or media is a plus.,2019-05-08
14,Nutrien Ag Solutions,Junior Data Scientist,"Loveland, CO",Not Easy Apply,3.5," BS/BA degree (MS preferred) in a quantitative discipline such as computer science, statistics, data science, mathematics, economics or equivalent combination of…",2019-05-08
15,Deloitte,Data Scientist,"Denver, CO",Not Easy Apply,4.0, The data scientist will also need to integrate data from disparate sources into an efficient and intuitive rational database structure.,2019-05-08
16,Nexthealth,Senior Data Scientist,"Denver, CO",Easy Apply,4.3," Detailed knowledge of computer science including data structures, data modeling, distributed systems, and software design methods.",2019-05-08
17,Transamerica,Data Scientist,"Denver, CO",Not Easy Apply,3.6," Master’s degree or PhD in computer science, machine learning, data science, mathematics, statistics, or related quantitative field.",2019-05-08
18,BPMLinks,Data Scientist,"Denver, CO",Not Easy Apply,," Experience with common data science toolkits, such as R, MatLab, etc; Verify integrity of data used for analysis; Create automated anomaly detection systems.",2019-05-08
19,Denver Health,Data Scientist - Behavioral Health,"Denver, CO",Not Easy Apply,3.7," Bachelors in biostatistics, clinical science, computer science, public health, statistics, or disciplines which include application of statistical analysis and…",2019-05-08
