job_title,company,rating,max_rating
Data Science Analyst,Payfone,3.5,5
Data Scientist,BPMLinks,,5
"Senior Applications Scientist, Bioinformatics/Data Science",Inscripta,3.0,5
Data Science Journalist,"Alteryx, Inc.",4.1,5
Junior Data Scientist,Nutrien Ag Solutions,3.5,5
Data Scientist,Transamerica,3.6,5
Data Scientist,Valen Analytics,,5
Data Engineer,Valen Analytics,,5
Sr Business Analyst / Data Scientist,PHOENIX,,5
Senior Data Scientist,Nexthealth,4.3,5
Director Integrated Data Science,UPMC,3.7,5
Data Scientist,Pricesenz,,5
Data Scientist - Behavioral Health,Denver Health,3.7,5
Data Scientist,Deloitte,4.0,5
Data Science Modeler,Avero,2.6,5
Data Scientist,The18,,5
Data Scientist,Horizontal,,5
Data Scientist,Willis Towers Watson,3.7,5
Data Science Intern,Maxar Technologies,3.7,5
Data Science Analyst,xentity corporation,4.6,5
