job_title,company,estimated_salary
Senior Data Engineer,Lendio,$77K-$92K
Quality Control Scientist,Apellis Pharmaceuticals,$77K-$92K
Data Scientist,Affinity Solutions,$77K-$92K
Sr Data Scientist,Ecolab,$77K-$92K
Senior Data Scientist,Brinks Home Security,$77K-$92K
"Scientist, Population Genomics",Wuxi Nextcode,$77K-$92K
Data Engineer,ManTech,$77K-$92K
Data Scientist,Takeda,$77K-$92K
Data Scientist,goTRG,$77K-$92K
Data Scientist,Great-Circle Technologies,$77K-$92K
Analytics Manager - Data Mart,Central California Alliance for Health,$77K-$92K
Data Scientist,ManTech,$77K-$92K
Data Scientist,Mars,$77K-$92K
Senior Data Engineer,Steady,$77K-$92K
Data Scientist,GovTech,$77K-$92K
Data Scientist,Avlino,$77K-$92K
Data Scientist,GEICO,$77K-$92K
"Associate Director, Data Science",Veracyte,$77K-$92K
Data Scientist,A Place for Mom,$77K-$92K
Data Scientist,Analysis Group,$77K-$92K
